------------------------------------------------------------------------------------------
||    ||          Nodos Generados              ||                   b*                  ||
------------------------------------------------------------------------------------------
||   d||    BFS  |    IDS  |  A*h(1) |  A*h(2) ||    BFS  |    IDS  |  A*h(1) |  A*h(2) ||
------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------
||   2||      7  |     10  |      5  |      5  ||   2,19  |   2,70  |   1,79  |   1,79  ||
||   3||     18  |     31  |     10  |      8  ||   2,22  |   2,75  |   1,74  |   1,58  ||
||   4||     38  |     96  |     12  |     11  ||   2,15  |   2,82  |   1,49  |   1,45  ||
||   5||     68  |    274  |     17  |     14  ||   2,04  |   2,82  |   1,44  |   1,37  ||
||   6||    124  |    824  |     23  |     18  ||   1,99  |   2,85  |   1,40  |   1,33  ||
||   7||    212  |   2092  |     34  |     22  ||   1,94  |   2,80  |   1,40  |   1,29  ||
||   8||    360  |   5811  |     46  |     29  ||   1,90  |   2,80  |   1,39  |   1,29  ||
||   9||    557  |  15096  |     69  |     33  ||   1,85  |   2,77  |   1,40  |   1,25  ||
||  10||    977  |      0  |    108  |     42  ||   1,84  |   0,00  |   1,42  |   1,25  ||
||  11||   1533  |      0  |    156  |     53  ||   1,81  |   0,00  |   1,42  |   1,25  ||
||  12||   2317  |      0  |    229  |     72  ||   1,78  |   0,00  |   1,42  |   1,26  ||
||  13||   3512  |      0  |    351  |    102  ||   1,76  |   0,00  |   1,43  |   1,27  ||
||  14||   5725  |      0  |    514  |    120  ||   1,75  |   0,00  |   1,43  |   1,26  ||
||  15||   9036  |      0  |    773  |    150  ||   1,73  |   0,00  |   1,44  |   1,26  ||
||  16||  12992  |      0  |   1150  |    248  ||   1,71  |   0,00  |   1,44  |   1,29  ||
||  17||  20093  |      0  |   1738  |    289  ||   1,70  |   0,00  |   1,45  |   1,28  ||
||  18||  24362  |      0  |   2294  |    366  ||   1,67  |   0,00  |   1,44  |   1,28  ||
||  19||  35340  |      0  |   3272  |    516  ||   1,65  |   0,00  |   1,44  |   1,28  ||
||  20||  48006  |      0  |   4721  |    586  ||   1,64  |   0,00  |   1,44  |   1,27  ||
||  21||  63400  |      0  |   6518  |    694  ||   1,62  |   0,00  |   1,44  |   1,27  ||
||  22||  77568  |      0  |   7254  |    962  ||   1,60  |   0,00  |   1,42  |   1,28  ||
||  23||  87703  |      0  |   9529  |    910  ||   1,57  |   0,00  |   1,41  |   1,26  ||
